image,width,height,class,ymin,xmin,ymax,xmax
image_2017_09_24_11_30_50_871288.png,800,600,G,536.47,372.41,570.823,389.765
image_2017_09_24_11_30_50_871288.png,800,600,G,539.0,514.0,574.0,531.0
image_2017_09_24_11_30_50_871288.png,800,600,G,540.73,445.474,569.91,463.065
image_2017_09_24_12_00_29_815574.png,800,600,Y,337.781,544.515,451.38,588.501
image_2017_09_24_12_00_29_815574.png,800,600,Y,336.406,326.035,448.57099999999997,368.914
image_2017_09_24_12_00_29_815574.png,800,600,Y,321.672,105.83,445.224,155.859
image_2017_09_24_11_58_53_866814.png,800,600,R,5.145230000000001,181.821,220.329,286.132
image_2017_09_24_11_58_53_866814.png,800,600,R,18.3736,632.168,223.54,727.752
image_2017_09_24_11_30_50_865571.png,800,600,G,478.0,157.0,534.0,186.0
image_2017_09_24_11_30_50_865571.png,800,600,G,489.36699999999996,269.563,539.821,294.068
image_2017_09_24_11_30_50_865571.png,800,600,G,490.67900000000003,369.939,543.51,395.30300000000005
image_2017_09_24_11_30_50_915993.png,800,600,G,198.90599999999998,409.17900000000003,354.659,479.286
image_2017_09_24_11_30_50_915993.png,800,600,G,213.104,699.17,374.969,772.102
image_2017_09_24_11_30_50_915993.png,800,600,G,182.33,93.6502,341.931,167.333
image_2017_09_24_11_30_50_887245.png,800,600,G,467.11699999999996,639.62,527.47,677.548
image_2017_09_24_11_30_50_887245.png,800,600,G,459.185,388.519,518.349,431.587
image_2017_09_24_11_30_50_887245.png,800,600,G,461.685,520.5369999999999,528.227,554.205
image_2017_09_24_11_30_50_870206.png,800,600,G,389.963,113.395,482.211,155.966
image_2017_09_24_11_30_50_870206.png,800,600,G,404.07199999999995,284.35200000000003,492.075,319.756
image_2017_09_24_11_30_50_918624.png,800,600,G,200.08900000000003,409.14599999999996,355.11199999999997,479.94300000000004
image_2017_09_24_11_30_50_918624.png,800,600,G,212.636,696.422,374.29400000000004,771.155
image_2017_09_24_11_30_50_918624.png,800,600,G,181.567,93.6403,343.592,168.737
image_2017_09_24_11_30_50_860896.png,800,600,G,72.6032,494.038,273.056,590.855
image_2017_09_24_11_58_53_945991.png,800,600,R,263.025,361.392,388.858,418.403
image_2017_09_24_11_58_53_945991.png,800,600,R,245.44099999999997,93.6257,394.459,149.316
image_2017_09_24_11_58_53_945991.png,800,600,R,275.434,631.7080000000001,399.32199999999995,687.543
image_2017_09_24_11_58_53_891305.png,800,600,R,198.449,519.6990000000001,359.861,583.193
image_2017_09_24_11_58_53_891305.png,800,600,R,186.357,206.49900000000002,349.801,279.378
image_2017_09_24_12_00_29_827987.png,800,600,Y,285.152,622.143,428.311,677.334
image_2017_09_24_12_00_29_827987.png,800,600,Y,289.09,371.62300000000005,421.93699999999995,429.89300000000003
image_2017_09_24_12_00_29_827987.png,800,600,Y,281.948,128.305,419.536,179.696
image_2017_09_24_12_00_29_833833.png,800,600,Y,285.999,621.794,427.95099999999996,677.311
image_2017_09_24_12_00_29_833833.png,800,600,Y,289.415,371.649,421.42,429.899
image_2017_09_24_12_00_29_833833.png,800,600,Y,284.539,128.459,417.707,179.308
